title,description,url
MQ Motivation Report Pack,,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/
IBM Sterling Order Management System (New),,https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/
MFS 360 UCF Standard Report,,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/
Managerial Scenarios Narrative Report,,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/
Pharmaceutical Science (New),,https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new/
What Is The Value - US,,https://www.shl.com/products/product-catalog/view/what-is-the-value-us/
SAP Basis (New),,https://www.shl.com/products/product-catalog/view/sap-basis-new/
Universal Competency Framework Job profiling guide,,https://www.shl.com/products/product-catalog/view/universal-competency-framework-job-profiling-guide/
Verify - G+,,https://www.shl.com/products/product-catalog/view/verify-g/
MFS 360 UCF Group Report,,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/
MS Word (New),,https://www.shl.com/products/product-catalog/view/ms-word-new/
Manufac. & Indust. - Safety & Dependability 8.0,,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/
Basic Computer Literacy (Windows 10) (New),,https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/
Apache HBase (New),,https://www.shl.com/products/product-catalog/view/apache-hbase-new/
Verify Interactive G+ Candidate Report,,https://www.shl.com/products/product-catalog/view/verify-interactive-g-candidate-report/
Account Manager Solution,,https://www.shl.com/products/product-catalog/view/account-manager-solution/
Front Office Management (New),,https://www.shl.com/products/product-catalog/view/front-office-management-new/
Automotive Engineering (New),,https://www.shl.com/products/product-catalog/view/automotive-engineering-new/
Automata Data Science (New),,https://www.shl.com/products/product-catalog/view/automata-data-science-new/
OPQ Leadership Report,,https://www.shl.com/products/product-catalog/view/opq-leadership-report/
RemoteWorkQ,,https://www.shl.com/products/product-catalog/view/remoteworkq/
C++ Programming (New),,https://www.shl.com/products/product-catalog/view/c-programming-new-4122/
SQL Server Integration Services (SSIS) (New),,https://www.shl.com/products/product-catalog/view/sql-server-integration-services-ssis-new/
Housekeeping (New),,https://www.shl.com/products/product-catalog/view/housekeeping-new/
Search Engine Optimization (New),,https://www.shl.com/products/product-catalog/view/search-engine-optimization-new/
PJM Selection Report,,https://www.shl.com/products/product-catalog/view/pjm-selection-report/
OPQ Manager Plus Report 2.0,,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/
Sales Interview Guide,,https://www.shl.com/products/product-catalog/view/sales-interview-guide/
Customer Service Phone Solution,,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/
SAP SD (Sales and Distribution) (New),,https://www.shl.com/products/product-catalog/view/sap-sd-sales-and-distribution-new/
R Programming (New),,https://www.shl.com/products/product-catalog/view/r-programming-new/
WriteX - Email Writing (Managerial) (New),,https://www.shl.com/products/product-catalog/view/writex-email-writing-managerial-new/
Medical Terminology (New),,https://www.shl.com/products/product-catalog/view/medical-terminology-new/
Enterprise Java Beans (New),,https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/
Java Frameworks (New),,https://www.shl.com/products/product-catalog/view/java-frameworks-new/
Ceramic Engineering (New),,https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/
