title,description,url,clean_text
SVAR - Spoken Spanish (North American) (New),,https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-north-american-new/,svar  spoken spanish north american new 
Culinary Skills (New),,https://www.shl.com/products/product-catalog/view/culinary-skills-new/,culinary skills new 
Apache Hadoop Extensions (New),,https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,apache hadoop extensions new 
Accounts Receivable Simulation (New),,https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,accounts receivable simulation new 
Jenkins (New),,https://www.shl.com/products/product-catalog/view/jenkins-new/,jenkins new 
Statistical Analysis System (New),,https://www.shl.com/products/product-catalog/view/statistical-analysis-system-new/,statistical analysis system new 
Core Java (Entry Level) (New),,https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,core java entry level new 
Salesforce Development (New),,https://www.shl.com/products/product-catalog/view/salesforce-development-new/,salesforce development new 
Entry Level Customer Serv-Retail & Contact Center,,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,entry level customer servretail  contact center 
Economics (New),,https://www.shl.com/products/product-catalog/view/economics-new/,economics new 
Microsoft PowerPoint 365 - Essentials (New),,https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,microsoft powerpoint 365  essentials new 
Data Entry Numeric Split Screen - US,,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,data entry numeric split screen  us 
Oracle WebLogic Server (New),,https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new/,oracle weblogic server new 
Mechanical Engineering (New),,https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/,mechanical engineering new 
Dermatology (New),,https://www.shl.com/products/product-catalog/view/dermatology-new/,dermatology new 
Verify G+ - Candidate Report,,https://www.shl.com/products/product-catalog/view/verify-g-candidate-report/,verify g  candidate report 
Apprentice 8.0 Job Focused Assessment,,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,apprentice 80 job focused assessment 
Informatica (Developer) (New),,https://www.shl.com/products/product-catalog/view/informatica-developer-new/,informatica developer new 
Cloud Computing (New),,https://www.shl.com/products/product-catalog/view/cloud-computing-new/,cloud computing new 
Automata - SQL (New),,https://www.shl.com/products/product-catalog/view/automata-sql-new/,automata  sql new 
Agile Testing (New),,https://www.shl.com/products/product-catalog/view/agile-testing-new/,agile testing new 
Biotech Lab Techniques (New),,https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,biotech lab techniques new 
HiPo Unlocking Potential Report 2.0,,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,hipo unlocking potential report 20 
Adobe Photoshop CC,,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,adobe photoshop cc 
Following Instructions v1 - US (R2),,https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,following instructions v1  us r2 
Pharmaceutical Analysis (New),,https://www.shl.com/products/product-catalog/view/pharmaceutical-analysis-new/,pharmaceutical analysis new 
.NET XAML (New),,https://www.shl.com/products/product-catalog/view/net-xaml-new/,net xaml new 
Reading Comprehension - English v1,,https://www.shl.com/products/product-catalog/view/reading-comprehension-english-v1/,reading comprehension  english v1 
Graduate Scenarios,,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,graduate scenarios 
Bank Collections Agent - Short Form,,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,bank collections agent  short form 
Python (New),,https://www.shl.com/products/product-catalog/view/python-new/,python new 
Manufac. & Indust. - Mechanical & Vigilance 8.0,,https://www.shl.com/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,manufac  indust  mechanical  vigilance 80 
Financial Accounting (New),,https://www.shl.com/products/product-catalog/view/financial-accounting-new/,financial accounting new 
PHP (New),,https://www.shl.com/products/product-catalog/view/php-new/,php new 
SVAR - Spoken French (Canadian) (New),,https://www.shl.com/products/product-catalog/view/svar-spoken-french-canadian-new/,svar  spoken french canadian new 
Branch Manager - Short Form,,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,branch manager  short form 
C Programming (New),,https://www.shl.com/products/product-catalog/view/c-programming-new/,c programming new 
Petroleum Engineering (New),,https://www.shl.com/products/product-catalog/view/petroleum-engineering-new/,petroleum engineering new 
Software Business Analysis,,https://www.shl.com/products/product-catalog/view/software-business-analysis/,software business analysis 
Dependability and Safety Instrument (DSI),,https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,dependability and safety instrument dsi 
MQ Motivation Report Pack,,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,mq motivation report pack 
IBM Sterling Order Management System (New),,https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,ibm sterling order management system new 
MFS 360 UCF Standard Report,,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/,mfs 360 ucf standard report 
Managerial Scenarios Narrative Report,,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,managerial scenarios narrative report 
Pharmaceutical Science (New),,https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new/,pharmaceutical science new 
What Is The Value - US,,https://www.shl.com/products/product-catalog/view/what-is-the-value-us/,what is the value  us 
SAP Basis (New),,https://www.shl.com/products/product-catalog/view/sap-basis-new/,sap basis new 
Universal Competency Framework Job profiling guide,,https://www.shl.com/products/product-catalog/view/universal-competency-framework-job-profiling-guide/,universal competency framework job profiling guide 
Verify - G+,,https://www.shl.com/products/product-catalog/view/verify-g/,verify  g 
MFS 360 UCF Group Report,,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/,mfs 360 ucf group report 
MS Word (New),,https://www.shl.com/products/product-catalog/view/ms-word-new/,ms word new 
Manufac. & Indust. - Safety & Dependability 8.0,,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/,manufac  indust  safety  dependability 80 
Basic Computer Literacy (Windows 10) (New),,https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,basic computer literacy windows 10 new 
Apache HBase (New),,https://www.shl.com/products/product-catalog/view/apache-hbase-new/,apache hbase new 
Verify Interactive G+ Candidate Report,,https://www.shl.com/products/product-catalog/view/verify-interactive-g-candidate-report/,verify interactive g candidate report 
Account Manager Solution,,https://www.shl.com/products/product-catalog/view/account-manager-solution/,account manager solution 
Front Office Management (New),,https://www.shl.com/products/product-catalog/view/front-office-management-new/,front office management new 
Automotive Engineering (New),,https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,automotive engineering new 
Automata Data Science (New),,https://www.shl.com/products/product-catalog/view/automata-data-science-new/,automata data science new 
OPQ Leadership Report,,https://www.shl.com/products/product-catalog/view/opq-leadership-report/,opq leadership report 
RemoteWorkQ,,https://www.shl.com/products/product-catalog/view/remoteworkq/,remoteworkq 
C++ Programming (New),,https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,c programming new 
SQL Server Integration Services (SSIS) (New),,https://www.shl.com/products/product-catalog/view/sql-server-integration-services-ssis-new/,sql server integration services ssis new 
Housekeeping (New),,https://www.shl.com/products/product-catalog/view/housekeeping-new/,housekeeping new 
Search Engine Optimization (New),,https://www.shl.com/products/product-catalog/view/search-engine-optimization-new/,search engine optimization new 
PJM Selection Report,,https://www.shl.com/products/product-catalog/view/pjm-selection-report/,pjm selection report 
